iter	Passed	Remaining
1360	184727	86731
1361	184859	86593
1362	184992	86456
1363	185127	86320
1364	185275	86190
1365	185413	86055
1366	185547	85919
1367	185683	85783
1368	185824	85650
1369	185961	85515
1370	186096	85379
1371	186230	85242
1372	186374	85110
1373	186518	84978
1374	186651	84841
1375	186789	84706
1376	186927	84571
1377	187091	84449
1378	187235	84316
1379	187374	84182
1380	187499	84042
1381	187635	83906
1382	187770	83770
1383	187910	83636
1384	188044	83500
1385	188178	83363
1386	188315	83227
1387	188456	83094
1388	188591	82958
1389	188728	82823
1390	188866	82688
1391	188995	82549
1392	189129	82413
1393	189268	82278
1394	189405	82143
1395	189544	82009
1396	189682	81874
1397	189821	81739
1398	189949	81601
1399	190087	81466
1400	190225	81331
1401	190364	81196
1402	190504	81062
1403	190639	80926
1404	190776	80791
1405	190907	80653
1406	191046	80519
1407	191187	80385
1408	191321	80248
1409	191454	80112
1410	191617	79987
1411	191750	79850
1412	191879	79712
1413	192013	79575
1414	192147	79439
1415	192282	79302
1416	192415	79165
1417	192548	79028
1418	192684	78893
1419	192827	78760
1420	192965	78625
1421	193102	78490
1422	193234	78353
1423	193372	78218
1424	193505	78081
1425	193638	77944
1426	193770	77806
1427	193906	77671
1428	194045	77536
1429	194194	77406
1430	194334	77272
1431	194425	77118
1432	194547	76977
1433	194686	76842
1434	194819	76706
1435	194952	76568
1436	195092	76435
1437	195229	76299
1438	195367	76164
1439	195502	76028
1440	195637	75892
1441	195769	75755
1442	195905	75619
1443	196040	75483
1444	196173	75346
1445	196311	75211
1446	196493	75093
1447	196584	74940
1448	196724	74806
1449	196851	74667
1450	196987	74532
1451	197132	74399
1452	197264	74262
1453	197395	74125
1454	197534	73990
1455	197670	73854
1456	197805	73718
1457	197937	73581
1458	198099	73455
1459	198235	73319
1460	198368	73183
1461	198500	73045
1462	198640	72911
1463	198771	72774
1464	198906	72638
1465	199040	72501
1466	199178	72366
1467	199318	72232
1468	199455	72097
1469	199593	71962
1470	199731	71827
1471	199866	71691
1472	200006	71556
1473	200135	71418
1474	200259	71278
1475	200392	71142
1476	200529	71006
1477	200666	70871
1478	200797	70734
1479	200932	70597
1480	201072	70463
1481	201206	70327
1482	201345	70192
1483	201473	70054
1484	201614	69920
1485	201750	69784
1486	201883	69647
1487	202023	69513
1488	202161	69378
1489	202297	69242
1490	202434	69107
1491	202567	68970
1492	202702	68834
1493	202844	68700
1494	202979	68564
1495	203112	68428
1496	203242	68290
1497	203381	68156
1498	203518	68020
1499	203654	67884
1500	203791	67749
1501	203924	67612
1502	204067	67479
1503	204228	67351
1504	204400	67228
1505	204531	67090
1506	204671	66956
1507	204808	66820
1508	204942	66684
1509	205095	66554
1510	205232	66418
1511	205366	66282
1512	205503	66146
1513	205631	66008
1514	205767	65872
1515	205904	65737
1516	206036	65600
1517	206169	65463
1518	206301	65326
1519	206442	65192
1520	206580	65057
1521	206712	64920
1522	206841	64782
1523	206975	64645
1524	207112	64510
